LAST SEEN   TYPE      REASON              OBJECT                                       MESSAGE
31m         Normal    FinalizerInited     podchaos/frontend-podkill                    Finalizer has been inited
31m         Normal    Updated             podchaos/frontend-podkill                    Successfully update finalizer of resource
31m         Normal    Pulled              pod/frontend-694b9f76cd-tpp7j                Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.4" already present on machine and can be accessed by the pod
31m         Normal    Created             pod/frontend-694b9f76cd-tpp7j                Container created
31m         Normal    Started             pod/frontend-694b9f76cd-tpp7j                Container started
18m         Normal    Deleted             podchaos/frontend-podkill                    Experiment has been deleted
18m         Normal    Updated             podchaos/frontend-podkill                    Successfully update desiredPhase of resource
18m         Normal    Updated             podchaos/frontend-podkill                    Successfully update finalizer of resource
18m         Normal    FinalizerInited     podchaos/frontend-podkill                    Finalizer has been removed
18m         Normal    Updated             podchaos/frontend-podkill                    Successfully update records of resource
18m         Normal    Recovered           podchaos/frontend-podkill                    Successfully recover chaos for default/frontend-694b9f76cd-7ngbj
17m         Normal    FinalizerInited     stresschaos/cpu-stress                       Finalizer has been inited
17m         Normal    Updated             stresschaos/cpu-stress                       Successfully update finalizer of resource
17m         Normal    Started             stresschaos/cpu-stress                       Experiment has started
17m         Normal    Updated             stresschaos/cpu-stress                       Successfully update desiredPhase of resource
17m         Normal    Applied             stresschaos/cpu-stress                       Successfully apply chaos for default/recommendationservice-6f8f67d69-7cw9t/server
17m         Normal    Updated             stresschaos/cpu-stress                       Successfully update records of resource
16m         Normal    Deleted             stresschaos/cpu-stress                       Experiment has been deleted
16m         Normal    Updated             stresschaos/cpu-stress                       Successfully update finalizer of resource
16m         Normal    FinalizerInited     stresschaos/cpu-stress                       Finalizer has been removed
16m         Normal    Updated             stresschaos/cpu-stress                       Successfully update records of resource
16m         Normal    Recovered           stresschaos/cpu-stress                       Successfully recover chaos for default/recommendationservice-6f8f67d69-7cw9t/server
16m         Normal    Updated             stresschaos/cpu-stress                       Successfully update desiredPhase of resource
15m         Normal    FinalizerInited     networkchaos/network-delay                   Finalizer has been inited
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update desiredPhase of resource
15m         Normal    Started             networkchaos/network-delay                   Experiment has started
15m         Normal    Updated             networkchaos/network-delay                   Successfully update finalizer of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Normal    Updated             networkchaos/network-delay                   Successfully update records of resource
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
15m         Warning   Failed              networkchaos/network-delay                   Failed to apply chaos: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
14m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
14m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
14m         Warning   Failed              podnetworkchaos/frontend-694b9f76cd-tpp7j    Failed to set tc: failed to apply for pod default/frontend-694b9f76cd-tpp7j: unable to set tcs for pod frontend-694b9f76cd-tpp7j
14m         Normal    Updated             podnetworkchaos/frontend-694b9f76cd-tpp7j    Successfully update ObservedGeneration and FailedMessage of resource
